mz/RT,target,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,LL 1,LL 2,LL 3,LL 4,LL 5,LL 6,LL 7,LL 8,LL 9,LL 10,LL 11,LL 12,LL 13,LL 14,LL 15,LL 16,LL 17,LL 18,LL 19,BL 1,BL 2,BL 3,BL 4,BL 5,BL 6,BL 7,BL 8,BL 9,BL 10,BL 11,BL 12,BL 13,BL 14,BL 15,WWTP 1,WWTP 2,WWTP 3,WWTP 4,WWTP 5,WWTP 6,WWTP 7,WWTP 8,WWTP 9,WWTP 10,WWTP 11,WWTP 12,WWTP 13,WWTP 14,WWTP 15,WWTP 16,WWTP 17,WWTP 18,WWTP 19,PP 1,PP 2,PP 3,PP 4,PP 5,PP 6,PP 7,PP 8,PP 9,PP 10,PP 11,PP 12,PP 13,PP 14,PP 15,PP 16,PG 1,PG 2,PG 3,PG 4,PG 5,PG 6,PG 7,PG 8
143.107393/8.12,-,12951.47152,12642.49559,14052.28996,14228.54132,22509.43023,727478,16605.06105,0,11336.67895,0,7833,15520.37145,6963,0,8809.004891,0,0,0,1480964.671,0,0,0,0,6486.590565,0,0,0,0,0,0,0,0,0,0,11929.9987,29492.2262,6766.62236,6886.163659,711832.6184,5899.642436,4625.371284,6298.7506,508763.7981,10915.60599,6133.177169,0,3155.107825,3992.808773,3190.721245,0,17589.86343,17783.89062,25512.57956,21325.8011,18144.46727,24648.48175,0,31677.7809,0,25828.10805,0,0,27412.80653,50742.29023,0,16090.05682,29299.38561,0,3061.934381,2470.601127,2345.060936,2962.77092,3059.962236,3733.128428,2701.376339,3239.754524,4144.446352,3290.132752,5353.409465,0,1814.205665,2465.67819,2792.312468,1684.311172,5471.230743,5342.845351,4696.000323,5911.536001,5234.251868,6608.402625,7059.240458,5419.360743
253.216616/16.76,-,0,0,0,0,0,0,30166.618,0,0,0,0,9260.221624,0,0,0,22576,8867,469440.8802,866564.2894,38776.61712,12928.15602,47080.06928,186752.2165,123688.4421,92500.45822,654979.8453,518803.6514,589214.7226,288819.3881,1452836.048,443646.6069,81213.18024,1343205.315,61155.29138,0,11979.19227,0,18366.64287,23694.14613,0,2393.025002,0,0,5717.042778,0,0,0,0,0,35198,175698.6413,105580.0772,116303.2063,51353.70439,37923.58493,66084.63793,63488.39128,21490.93801,74160,21085.28943,82332.0287,253073.9384,71475.47821,0,61615.5,197646.1364,390405.2945,29036.90776,0,0,4000.218643,0,0,0,8260.965059,7918.615478,0,1939.448652,31070.69326,9224.552015,0,16517.94642,44246.30187,6756.169534,0,2882.732399,4098.337826,0,0,0,3662.565219,0
171.138549/9.93,-,10880.67091,20009.03281,12917.40894,14133.07531,10715.20969,11085,19974.1141,18852,7877.86421,1399143.224,4975,7190.172082,3504,1450519,6627.558855,160653,6298,67618.33465,177529.9443,152874.9325,27730.88239,24788.36116,161546.6396,0,157299.9537,83553.90334,105923.6327,59558.20128,221851.5838,171360.3146,142199.8477,249351.0132,367675.127,198709.0292,18674.0326,39329.23806,20595.18864,39119.74258,25186.79088,17897.74013,12667.67598,16794.32852,17294.99448,58298.19408,29196.43955,73284.34266,25728.61252,13196.51956,10949.35004,4465,28599.00373,16045.26938,25260.41749,29408.06325,19668.97625,31935.68255,73715.07088,30601.78447,19623.5,29596.20888,30530.94529,29023.44213,32015.03705,44885.9158,0,19019.20455,14128.19859,18658.16016,4453.222318,4439.942323,0,5225.110585,8005.838444,5305.438003,6376.909876,4832.126378,6487.042474,6293.113671,13299.31186,6803.588277,6347.102217,6735.403154,6615.410399,5730.442955,13800.62236,14695.95221,13762.0546,14922.24885,12239.67289,13314.0031,15408.11656,16646.40174
251.200786/15.53,-,0,0,0,0,0,0,0,0,2218.880868,0,0,0,0,8249,3546.620461,9382.5,0,0,9487.707299,3869.860168,0,0,2926.586497,19600.0057,0,1923.079488,15026.4901,8218.524917,0,1442895.848,3763.502545,0,7753.582158,0,27640.16357,10776.28706,0,0,19353.52503,1774.748404,0,1689.146577,3467.672861,4545.630468,1297.692834,0,19491.98996,2501.90544,0,0,14361.40447,7382.861142,36291.68946,7535.446738,0,6000.735961,0,0,0,0,0,24771.9207,0,0,0,3990.369318,11217.64734,0,0,5889.434035,12812.56777,494.1898736,1236.360115,0,1752.580526,0,6289.540224,0,7296.433314,1309.891618,4205.091133,0,0,2301.261107,0,0,12141.36112,0,3486.279473,12516.98077,24252.42047,2960.003852
348.933999/8.09,-,0,0,0,0,0,0,0,0,0,0,1372611.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312.972236/8.1,102 (M-H),973886.5127,1170478.908,377039.235,557862.2927,446613.7473,437500.5,475850.6963,656807,802739.4917,1354302.006,0,70774.69384,1267633,616296,1226775.664,27020,18137,48642.9488,47571.20225,74472.36039,29771.48144,24057.98165,111687.1428,147816.8803,109761.2527,34662.91423,40959.89025,67921.3879,65839.70748,92041.69535,31572.75893,313418.3371,70092.25218,18521.92849,2925.580905,1219.923227,10304.0377,9126.84582,0,5469.645635,11705.48661,2816.300955,1835.883084,21241.25839,2122.297939,18166.82946,27534.38329,2486.621961,8761.355457,0,0,2373.511019,2462.673748,0,0,0,0,0,0,3081.077871,3203.747987,0,4518.991228,67905.76667,0,0,1742.404203,1588.685988,2954.90047,0,1515.679683,0,0,0,0,0,1911.096643,0,2695.546642,0,0,1575.423872,0,0,1279.508286,0,0,0,605.0487802,0,0,17673.58363
363.180801/8.03,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813.4766604,0,0,1223.629542,0,0,0,0,0,0,0,0,1329.675566,0,0,0,1640.690888,0,0,0,8622.883713,1685.913577,0,0,0,0,0,0,0,0,0,0,22182.93095,6546.155282,320351.3513,719500.1945,908.3877069,3578.806812,1250.331774,3239.460348,1347601.258,2195.237271,13252.39935,2103.861588,53315.69889,750905.2801,457149.4136,2630.973956,921.1274929,0,0,0,0,0,2325.498683,5083.694727
397.951371/10.99,124 (M-H),0,5061.255282,92869.50695,461570.4519,0,0,509664.4261,555256,661286.0825,391171.3115,15497.5,5757.137785,1340201,938819.5,97421.3968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297.958267/8.5,123 (M-H),0,22709.94222,123500.9283,72668.62297,0,2265.5,203700.0364,662276,476762.945,1327089.906,0,4504.107796,921246,468047,389547.4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.8068122,0,0,0,32725.19559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417.227422/10.68,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3389.5,0,0,0,0,0,0,3529.669018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5432.735508,947.0802161,536203.4377,7496.528818,0,7815.377887,386.6444075,4123.310567,59684.79805,264593.6065,1259205.195,2150.763556,837722.4532,0,43959.38897,63647.19637,0,0,0,0,0,0,0,7909.432172
618.028286/10.99,-,0,0,4151.417145,0,0,0,4793.071589,1258854,17136.98915,735863.1538,0,0,0,183716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329.232298/8.59,-,0,0,0,3065.177432,0,0,0,0,0,0,0,0,0,0,0,1238,0,0,36523.09297,0,0,0,7324.647596,0,6690.596963,0,0,0,4474.597581,355081.3813,0,0,3279.608615,0,156173.4125,257137.4838,0,0,1236239.786,0,0,0,253461.2469,0,6560.793817,17768.72561,129679.629,0,0,0,4088.746454,0,0,0,0,0,19396.76297,0,0,0,19685.44239,4369.474703,1760.059832,5550.317529,0,0,0,54398.03226,0,1947.954983,1397.553165,0,2399.514698,1284.221478,0,0,12601.02514,10162.62079,25754.96761,0,0,0,0,24715.84709,6857.36472,0,0,0,0,653.5898287,0,0
249.184946/14.42,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7337,0,0,16110.46603,2929.258933,0,0,0,23572.62019,0,0,0,0,0,1232038.416,0,0,0,0,8494.413928,1120.203609,0,15802.55333,15063.76064,2952.249054,418.4341672,0,0,3059.908227,594.1868785,0,6507.1163,1342.271504,0,0,0,0,0,11633.51964,0,0,0,0,0,0,0,0,0,0,0,0,1229.499304,0,0,5864.593126,4690.121872,1797.556457,0,0,0,0,0,0,4139.067625,0,0,0,4916.255763,0,0,0,0,0,2967.252005,13294.82622,50019.16746,0
175.097372/6.36,-,0,0,0,0,0,0,0,16741,0,1192515.547,0,0,0,4445,0,8951,0,0,8643.279239,0,0,0,0,0,7354.928322,0,0,4901.094928,0,0,5057.577552,0,0,0,0,4481.41156,0,0,0,0,0,0,1189.481311,0,0,2109.974452,0,0,0,0,6393.428074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2149.783214,0,0,0,0,0,835.7631701,950.2796209,0,1333.791611,2195.423552,4209.619593,10691.43778,0,0,1399.703517,0,10818.2823,0,0,0,0,0,0,0,0
59.013306/11.32,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119588.8605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320174.3852,410072.0121,0,0,1111639.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569.346962/11.86,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20680.5,4506,1105374.587,15625.07783,166187.6048,285880.1578,0,0,0,2735.342999,17778.31024,21252.55069,35797.78879,30984.87371,16651.73128,42419.5413,65205.50042,38345.31446,5020.54912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414.448851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881.254489/10.37,-,0,0,0,0,0,1089307.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169.340269/12.66,-,0,0,0,0,0,1089283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718.011006/13.38,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.105244/8.11,-,0,0,0,0,0,0,0,0,0,0,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
